Rank,Release Group,Worldwide,Domestic,Foreign,Year,Domestic %,Foreign %
2711,All Is Lost,13627519,6263670,7363849,2013,0.45963392162579264,0.5403660783742074
2712,Sing Street,13624522,3237118,10387404,2016,0.23759497764398635,0.7624050223560137
2713,Do It Like An Hombre,13610252,2534252,11076000,2017,0.18620169560416663,0.8137983043958333
2714,Love Forecast,13608637,32211,13576426,2015,0.0023669526933520232,0.9976330473066479
2715,Strange Magic,13603453,12429583,1173870,2015,0.9137079387123255,0.08629206128767454
2716,Anything Else,13585075,3212310,10372765,2003,0.23645876080919687,0.7635412391908032
2717,The Two Faces of January,13551951,507463,13044488,2014,0.03744575227581623,0.9625542477241837
2718,Nymphomaniac: Vol. I,13545832,785896,12759936,2013,0.05801755108139537,0.9419824489186046
2719,Phantom of the Theatre,13526843,43955,13482888,2016,0.0032494647864250363,0.9967505352135749
2720,The Man,13485145,8330720,5154425,2005,0.6177701463350969,0.38222985366490314
2721,One Night at McCool's,13473370,6290673,7182697,2001,0.46689677489744585,0.5331032251025541
2722,The Lord of the Rings: The Two Towers 2003 Re-release,13451150,1996877,11454273,2003,0.1484539983570178,0.8515460016429822
2723,Three Identical Strangers,13448497,12320845,1127652,2018,0.9161503326356841,0.08384966736431587
2724,Trapped,13414416,7073251,6341165,2002,0.5272872855590582,0.47271271444094176
2725,Lords of Dogtown,13411957,11273517,2138440,2005,0.8405571983268363,0.15944280167316374
2726,The Third Murder,13411936,89315,13322621,2017,0.006659366701421778,0.9933406332985782
2727,Solarmax,13400161,13400161,0,2000,1.0,0.0
2728,Our President,13392049,507268,12884781,2017,0.03787829629356942,0.9621217037064306
2729,Ratchet & Clank,13385737,8821329,4564408,2016,0.6590095860989947,0.3409904139010052
2730,RRRrrrr!!!,13315054,54361,13260693,2004,0.004082672139369469,0.9959173278606306
2731,Hotel Artemis,13313581,6708147,6605434,2018,0.5038574520258674,0.4961425479741326
2732,Vera Drake,13267869,3775283,9492586,2004,0.2845432827230959,0.7154567172769041
2733,Paris Can Wait,13203541,5617731,7585810,2017,0.42547154585273755,0.5745284541472625
2734,Kal ho naa ho,13200241,1991922,11208319,2003,0.15090042674220872,0.8490995732577913
2735,The Well Digger's Daughter,13194167,386368,12807799,2011,0.029283243117962657,0.9707167568820373
2736,The Honeymooners,13183426,12843849,339577,2005,0.9742421279567238,0.025757872043276155
2737,Mommy,13156856,3494070,9662786,2014,0.2655702851805933,0.7344297148194067
2738,The Sisters Brothers,13143056,3143056,10000000,2018,0.23914194689576002,0.76085805310424
2739,Head Over Heels,13127022,10424470,2702552,2001,0.7941229930139524,0.20587700698604755
2740,The Crew,13105853,13023075,82778,2000,0.9936838907013531,0.006316109298646948
2741,Hillary's America: The Secret History of the Democratic Party,13099931,13099931,0,2016,1.0,0.0
2742,The Angels' Share,13090471,346669,12743802,2012,0.026482545967979304,0.9735174540320207
2743,Shut In,13082071,6900335,6181736,2016,0.5274650321038619,0.47253496789613814
2744,Hot Tub Time Machine 2,13081651,12314651,767000,2015,0.94136825695778,0.05863174304221998
2745,The Way of the Gun,13069740,6055661,7014079,2000,0.4633344657200526,0.5366655342799475
2746,The Barbarian Invasions,13065317,5109226,7956091,2003,0.39105258601838744,0.6089474139816126
2747,Welcome to Marwen,13061491,10763520,2297971,2018,0.8240651852074162,0.1759348147925838
2748,"Roman J. Israel, Esq.",13025860,11962778,1063082,2017,0.9183868090091556,0.08161319099084437
2749,Friends with Kids,13019073,7251073,5768000,2012,0.5569577035169861,0.4430422964830138
